model,setup,k,accuracy_pct,precision_pct,recall_pct,f1_pct,source,note
DeepLOB,setup1,1,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table I (ar5iv 2026-08-27),Zhang et al. report k=10/50/100 in Setup 1 not k=1
DeepLOB,setup1,2,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table I (ar5iv 2026-08-27),not in paper
DeepLOB,setup1,3,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table I (ar5iv 2026-08-27),not in paper
DeepLOB,setup1,5,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table I (ar5iv 2026-08-27),not in paper
DeepLOB,setup1,10,78.91,78.47,78.91,77.66,arXiv:1808.03668 Table I via https://ar5iv.labs.arxiv.org/html/1808.03668,copied from public HTML 2026-08-27
DeepLOB,setup1,50,75.01,75.10,75.01,74.96,arXiv:1808.03668 Table I via ar5iv,copied from public HTML 2026-08-27
DeepLOB,setup1,100,76.66,76.77,76.66,76.58,arXiv:1808.03668 Table I via ar5iv,copied from public HTML 2026-08-27
DeepLOB,setup2,1,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table II,Zhang et al. report k=10/20/50 in Setup 2 not k=1
DeepLOB,setup2,2,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table II,not in paper
DeepLOB,setup2,3,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table II,not in paper
DeepLOB,setup2,5,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,NA_not_in_zhang2019_tables,arXiv:1808.03668 Table II,not in paper
DeepLOB,setup2,10,84.47,84.00,84.47,83.40,arXiv:1808.03668 Table II via https://ar5iv.labs.arxiv.org/html/1808.03668,copied from public HTML 2026-08-27
DeepLOB,setup2,20,74.85,74.06,74.85,72.82,arXiv:1808.03668 Table II via ar5iv,copied from public HTML 2026-08-27
DeepLOB,setup2,50,80.51,80.38,80.51,80.35,arXiv:1808.03668 Table II via ar5iv,copied from public HTML 2026-08-27
